Checklist of New Zealand Grasses,,,,,,,,,
Last updated 05-2017,,,1,2,3,4,5,6,
,,,Northern North Island,Southern North Island,Northern South Island,Central South Island,Southern South Island,Stewart Island,
No.,Species,Biostatus,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,
1,Achnatherum petriei,E,,,X,X,X,,
4,Agrostis dyeri,E,X,X,X,X,X,,
6,Agrostis imbecilla,E,,X,,X,X,,
9,Agrostis muscosa,E,,X,X,X,X,1,
11,Agrostis oresbia,E,1,X,1,,,,
12,Agrostis pallescens,E,,X,1,1,X,,
13,Agrostis personata,E,X,X,X,X,X,,
14,Agrostis petriei,E,1,,,X,X,,
16,Agrostis subulata,E,,X,X,X,X,,
30,Anemanthele lessoniana,E,X,X,X,X,X,,
31,Anthosachne aprica,E,,,,,X,,
32,Anthosachne falcis,E,,,,X,X,,
34,Anthosachne sacandros,E,,X,,,,,
36,Anthosachne solandri ,E,X,X,X,X,X,,
44,Australopyrum calcis,E,,X,X,2,,,
47,Austroderia fulvida,E,X,X,X,1,1,1,
48,Austroderia richardii,E,X,X,X,X,X,X,
49,Austroderia splendens,E,X,X,1,,,,
50,Austroderia toetoe,E,X,X,1,1,,,
51,Austroderia turbaria ,E,,,,,,,
119,Chionochloa acicularis,E,,,1,1,X,,
120,Chionochloa antarctica,E,2,,,,1,,
121,Chionochloa australis,E,,2,X,X,X,,
122,Chionochloa beddiei,E,,X,,,,,
123,Chionochloa bromoides,E,X,,,,1,,
124,Chionochloa cheesemanii,E,,X,X,1,,,
125,Chionochloa conspicua,E,X,X,X,X,X,X,
126,Chionochloa crassiuscula,E,,2,X,X,X,X,
127,Chionochloa defracta,E,,,X,1,,,
128,Chionochloa flavescens,E,X,X,X,X,X,1,
129,Chionochloa flavicans,E,X,X,,1,1,,
130,Chionochloa juncea,E,,,X,,,,
131,Chionochloa lanea,E,,,,,1,2,
132,Chionochloa macra,E,,X,X,X,X,,
133,Chionochloa nivifera,E,,,,,,,"4 Recorded Occurences in NZ, but none with coordinates."
134,Chionochloa oreophila,E,,,X,X,X,,
135,Chionochloa ovata,E,,,,X,X,,
136,Chionochloa pallens,E,X,X,X,X,X,,
137,Chionochloa rigida,E,,X,X,X,X,1,
138,Chionochloa rubra,E,1,X,X,X,X,X,
139,Chionochloa spiralis,E,,,,,X,,
140,Chionochloa teretifolia,E,X,,,,X,,
141,Chionochloa vireta ,E,,,,X,X,,
145,Connorochloa tenuis,E,,X,X,X,X,,
161,Deschampsia chapmanii,E,1,X,X,X,X,,
163,Deschampsia gracillima,E,1,,,,,1,
164,Deschampsia pusilla,E,,,X,,X,,
165,Deschampsia tenella,E,X,X,X,X,X,,
166,Deyeuxia aucklandica,E,X,X,X,X,X,X,
167,Deyeuxia avenoides,E,X,X,X,X,X,1,
168,Deyeuxia lacustris,E,,,2,,,,
170,Deyeuxia youngii,E,,X,1,X,,,
173,Dichelachne lautumia,E,,,2,,,,
213,Festuca actae,E,,,,X,,,
214,Festuca contracta,E,,,,,,,"2 recorded occurrences in NZ, no coordinates."
215,Festuca coxii,E,,,1,1,,,
216,Festuca deflexa,E,,,X,,,,
218,Festuca luciarum,E,X,1,,,,,
219,Festuca madida,E,,X,,1,X,,
220,Festuca matthewsii,E,,X,X,X,X,,
221,Festuca multinodis,E,,X,X,X,X,,
223,Festuca novae-zelandiae,E,1,X,X,X,X,1,
226,Festuca ultramafica,E,,,X,,,,
236,Hierochloe brunonis,E,,,,,X,X,
237,Hierochloe cuprea,E,1,X,X,X,X,,
238,Hierochloe equiseta,E,,,,,X,1,
239,Hierochloe fusca,E,,1,,1,X,1,
240,Hierochloe novae-zelandiae,E,1,X,X,X,X,1,
241,Hierochloe recurvata,E,2,X,X,X,X,1,
247,Imperata cheesemanii,E,,,,,,,All occurences with coordinates are on Raoul Island.
250,Koeleria cheesemanii,E,2,1,X,X,X,,
251,Koeleria novozelandica,E,,X,X,X,X,,
252,Koeleria riguorum,E,,2,2,,,,
253,Lachnagrostis ammobia,E,,,,,2,1,
255,Lachnagrostis elata,E,X,X,X,1,X,,
257,Lachnagrostis glabra,E,1,,,,2,1,
258,Lachnagrostis leptostachys,E,,,,,,,"Occurrences on Auckland Island, Campbell Island, Antipodes Island"
259,Lachnagrostis littoralis,E,X,X,X,X,X,1,
260,Lachnagrostis lyallii,E,X,X,X,X,X,,
261,Lachnagrostis pilosa,E,X,2,X,X,X,,
262,Lachnagrostis striata,E,X,X,1,1,X,,
263,Lachnagrostis tenuis,E,,,,2,2,,
264,Lachnagrostis uda,E,,,,,X,,
279,Microlaena carsei,E,X,,,,,,
280,Microlaena polynoda,E,X,X,X,X,X,,
330,Poa acicularifolia,E,,,X,X,,,
332,Poa anceps,E,X,X,X,X,,,
334,Poa antipoda,E,,,1,,,,
335,Poa astonii,E,X,,,1,X,X,
336,Poa aucklandica,E,,,,,,X,
338,Poa breviglumis,E,X,X,X,X,X,1,
339,Poa buchananii,E,,,X,X,X,,
341,Poa celsa,E,1,1,X,1,,,
342,Poa chathamica,E,,1,1,,,,
343,Poa cita,E,X,X,X,X,X,2,
344,Poa cockayneana,E,,1,,,,,
345,Poa colensoi,E,,1,X,X,2,,
347,Poa dipsacea,E,2,,X,X,1,,
348,Poa foliosa,E,2,1,,,,1,
349,Poa hesperia,E,2,,,X,X,,
350,Poa imbecilla,E,,X,1,,1,,
351,Poa incrassata,E,,,,1,X,,
353,Poa intrusa,E,,,,X,2,,
354,Poa kirkii,E,,X,X,X,X,1,
356,Poa lindsayi,E,1,2,X,X,X,,
358,Poa maia,E,,,X,,,,
359,Poa maniototo,E,,,X,X,X,,
360,Poa matthewsii,E,1,X,X,X,X,,
362,Poa novae-zelandiae,E,X,X,X,X,X,1,
365,Poa pusilla,E,X,X,X,X,X,X,
366,Poa pygmaea,E,,,,,X,,
367,Poa ramosissima,E,,,,,,,
369,Poa schistacea,E,,,,,X,,
370,Poa senex,E,,,,,X,,
372,Poa spania,E,,,,,X,,
373,Poa sublimis,E,,,X,1,,,
374,Poa subvestita,E,2,1,X,X,X,,
375,Poa sudicola,E,,,X,1,X,,
376,Poa tennantiana,E,,,,X,1,2,
377,Poa tonsa,E,,,,,X,,
379,Poa xenica,E,,,X,,,,
386,Puccinellia raroflorens,E,,,,,X,2,
389,Puccinellia walkeri,E,,,,,X,X,
393,Rytidosperma biannulare,E,X,1,2,1,,,
394,Rytidosperma buchananii,E,X,X,X,X,X,,
396,Rytidosperma clavatum,E,X,X,X,X,X,,
397,Rytidosperma corinum,E,,1,,X,X,,
399,Rytidosperma exiguum,E,,,,X,X,,
402,Rytidosperma horrens,E,,,,,X,,
404,Rytidosperma maculatum,E,1,1,1,X,X,,
405,Rytidosperma merum,E,1,X,,,,,
406,Rytidosperma nigricans,E,,X,X,X,X,,
407,Rytidosperma nudum,E,1,X,,,,,
409,Rytidosperma petrosum,E,,X,X,,,,
411,Rytidosperma pulchrum,E,,X,,,,,
414,Rytidosperma setifolium,E,X,X,X,X,X,1,
415,Rytidosperma telmaticum,E,,,,X,X,,
416,Rytidosperma tenue,E,,,,,X,,
418,Rytidosperma thomsonii,E,,,X,X,X,,
419,Rytidosperma unarede,E,X,X,X,X,X,1,
420,Rytidosperma viride,E,X,X,1,,,,
439,Simplicia buchananii,E,,,X,2,,,
440,Simplicia felix,E,,X,,,1,,
441,Simplicia laxa,E,,X,2,1,X,,
451,Stenostachys deceptorix,E,,,X,,,,
452,Stenostachys enysii,E,,1,X,X,X,,
453,Stenostachys gracilis,E,X,X,X,X,X,X,
454,Stenostachys laevis,E,,X,X,X,X,X,
460,Trisetum antarcticum,E,X,X,X,X,X,,
462,Trisetum drucei,E,1,X,X,,,,
464,Trisetum lasiorhachis,E,X,X,,,,,
465,Trisetum lepidum,E,X,X,X,X,X,,
466,Trisetum serpentinum,E,1,,X,,,,
468,Trisetum tenellum,E,,,X,X,X,,
469,Trisetum youngii,E,X,X,X,X,X,,
479,Zotovia acicularis,E,,,,,X,,
480,Zotovia colensoi,E,,X,X,X,2,,
481,Zotovia thomsonii,E,1,X,X,X,X,,
482,Zoysia minima,E,X,X,X,X,2,,
483,Zoysia pauciflora,E,X,1,,1,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
